# P	count	tag	form
1.00	2	VERB	подпрыгнул
1.00	2	VERB	похлопал
1.00	1	VERB	взметая
1.00	1	ADJ	пушистую
1.00	1	NOUN	порошу
1.00	4	VERB	проверил
1.00	46	ADV	Сначала
1.00	8	NOUN	полях
1.00	5	NOUN	лесах
0.97	146	ADJ	невозможно
0.03	4	ADV	невозможно
1.00	2	VERB	Смотри
1.00	71	DET	какие
1.00	1	NOUN	осин
1.00	3	VERB	останавливалась
1.00	1	NOUN	Цвета
1.00	3	ADJ	кошачьих
1.00	3	VERB	останавливался
0.48	11	ADV	верно
0.52	12	ADJ	верно
1.00	3	NOUN	осины
1.00	2	ADJ	желто
1.00	1	ADJ	зелены
1.00	17	NOUN	цвет
1.00	1	VERB	пронизан
1.00	1	ADJ	дымными
1.00	1	ADJ	косыми
1.00	3	NOUN	лучами
1.00	2	NOUN	пеленой
1.00	1	VERB	повисал
1.00	2	NOUN	стволами
0.50	5	NOUN	ели
0.50	5	VERB	ели
1.00	1	VERB	освобожденные
1.00	6	NOUN	груза
1.00	1	VERB	раскачивали
1.00	1	NOUN	лапами
1.00	1	NOUN	увала
1.00	1	NOUN	увал
1.00	12	ADJ	белыми
1.00	2	NOUN	крышами
1.00	1	NOUN	избах
1.00	1	VERB	топились
1.00	19	NOUN	печи
1.00	6	VERB	исходили
1.00	1	NOUN	Дымки
1.00	3	VERB	поднимались
1.00	1	NOUN	столбами
1.00	4	NOUN	небу
1.00	1	VERB	сваливались
1.00	2	VERB	растекались
1.00	1	VERB	затягивали
1.00	1	VERB	закутывали
1.00	1	ADJ	окрестные
1.00	2	NOUN	холмы
1.00	3	ADJ	прозрачной
1.00	1	NOUN	синью
1.00	1	VERB	проскакал
1.00	4	NOUN	конь
1.00	3	NOUN	шерсть
1.00	1	VERB	сияла
1.00	10	NOUN	мышцы
1.00	1	VERB	переливались
1.00	23	NOUN	лед
1.00	2	VERB	брызгали
1.00	1	NOUN	подков
1.00	1	ADJ	дробный
1.00	1	NOUN	хруст
1.00	1	NOUN	фырканье
1.00	5	VERB	остановились
1.00	1	ADV	Нервно
1.00	1	ADV	взлохмаченно
1.00	3	VERB	летела
1.00	1	ADJ	озабоченная
1.00	1	NOUN	галка
1.00	1	VERB	торопилась
1.00	44	ADJ	другая
1.00	9	ADV	вдали
1.00	1	VERB	ныряла
1.00	2	VERB	выпуская
1.00	1	NOUN	галок
1.00	2	ADJ	заинтересованная
0.10	1	NOUN	сорока
0.90	9	NUM	сорока
1.00	12	VERB	узнали
1.00	1	VERB	Мурлыкали
1.00	1	ADV	деловито
1.00	1	VERB	копошились
1.00	1	VERB	торчащем
1.00	1	NOUN	татарнике
1.00	3	NOUN	снегири
1.00	1	ADJ	необыкновенные
1.00	2	NOUN	мороза
1.00	1	ADJ	тропические
1.00	30	NOUN	птицы
1.00	7	ADJ	сухие
1.00	2	NOUN	семена
1.00	5	ADJ	крепких
1.00	5	ADJ	толстых
1.00	1	NOUN	клювов
1.00	1	VERB	ложась
1.00	1	NOUN	дорожкой
1.00	57	ADV	Иногда
1.00	1	VERB	попадался
1.00	2	ADJ	лисий
1.00	3	ADJ	ровной
1.00	3	ADJ	извилистой
1.00	1	NOUN	строчкой
1.00	1	NOUN	былья
1.00	1	NOUN	былью
1.00	2	NOUN	кочки
1.00	1	NOUN	кочке
1.00	1	VERB	пропадал
1.00	1	ADJ	снежном
1.00	3	NOUN	сиянии
1.00	2	NOUN	Лыжники
1.00	1	ADJ	заячьи
1.00	17	NOUN	следы
1.00	1	ADJ	беличьи
1.00	1	ADJ	осиновых
1.00	2	ADJ	березовых
1.00	1	NOUN	рощах
1.00	3	ADJ	таинственной
1.00	4	ADJ	холодных
1.00	1	ADJ	пустынных
1.00	3	VERB	волновали
1.00	1	VERB	думалось
1.00	4	ADJ	ночном
1.00	1	NOUN	самоваре
1.00	3	NOUN	охотой
1.00	2	NOUN	тулупе
0.14	1	VERB	текущих
0.86	6	ADJ	текущих
1.00	1	NOUN	звездах
1.00	1	NOUN	стогах
1.00	2	VERB	жируют
1.00	18	NOUN	ночам
1.00	2	NOUN	зайцы
1.00	1	VERB	Воображался
1.00	1	ADJ	громовой
1.00	7	NOUN	вспышка
1.00	4	ADJ	хрупкое
1.00	1	VERB	ломающееся
1.00	2	NOUN	эхо
1.00	3	NOUN	холмах
1.00	1	NOUN	брех
1.00	1	VERB	потревоженных
1.00	12	NOUN	собак
1.00	1	NOUN	деревням
1.00	1	VERB	остывшие
1.00	1	VERB	стекленеющие
1.00	1	VERB	растянувшегося
1.00	1	NOUN	зайца
1.00	7	NOUN	отражение
1.00	12	NOUN	звезд
1.00	1	ADJ	заиндевелые
1.00	6	ADJ	толстые
1.00	3	NOUN	усы
1.00	4	ADJ	теплая
1.00	11	NOUN	тяжесть
1.00	1	ADJ	заячьей
1.00	2	NOUN	тушки
1.00	2	NOUN	долинах
1.00	1	NOUN	оврагах
1.00	1	ADJ	глубок
1.00	1	ADJ	сух
1.00	1	NOUN	скатах
1.00	5	NOUN	холмов
1.00	7	VERB	держался
1.00	1	ADJ	муаровый
1.00	1	NOUN	наст
1.00	9	ADJ	легкой
1.00	1	NOUN	порошей
1.00	1	VERB	взбираться
1.00	1	VERB	съезжать
1.00	5	ADJ	далеких
1.00	4	NOUN	горизонта
1.00	1	ADV	розово
1.00	3	VERB	светились
1.00	1	ADJ	сине
1.00	9	VERB	казались
1.00	2	ADJ	безграничными
1.00	1	VERB	скатываясь
1.00	2	VERB	отдыхая
1.00	1	VERB	поваленных
1.00	4	NOUN	деревьях
1.00	4	VERB	улыбаясь
1.00	9	NOUN	шею
1.00	2	VERB	притягивал
1.00	3	VERB	целовал
1.00	6	ADJ	холодные
1.00	1	ADJ	обветренные
1.00	4	VERB	Говорить
1.00	36	ADV	редко
1.00	3	VERB	Посмотри
1.00	2	VERB	Послушай
0.64	65	ADV	правда
0.36	36	NOUN	правда
1.00	1	ADJ	грустна
1.00	1	ADJ	рассеянна
1.00	2	VERB	отставала
1.00	36	VERB	понимал
1.00	2	NOUN	усталости
1.00	1	VERB	поджидая
1.00	1	VERB	догоняла
1.00	2	NOUN	укором
1.00	4	ADJ	необычным
1.00	8	VERB	спрашивал
1.00	17	ADV	осторожно
1.00	3	VERB	устала
1.00	1	VERB	отдохнем
1.00	5	ADV	торопливо
1.00	1	VERB	Задумалась
1.00	1	ADV	медленней
1.00	1	NOUN	вершинах
1.00	1	VERB	сияли
1.00	15	NOUN	долины
1.00	2	NOUN	овраги
1.00	1	VERB	сизеть
1.00	1	VERB	глохнуть
1.00	1	ADJ	необозримому
1.00	1	NOUN	пространству
1.00	18	NOUN	полей
1.00	9	VERB	двигались
1.00	3	ADJ	одинокие
1.00	4	NOUN	фигурки
1.00	1	NOUN	чирканье
1.00	1	NOUN	палок
1.00	1	ADJ	розовом
1.00	6	NOUN	лесом
1.00	2	VERB	зашло
1.00	16	NOUN	солнце
1.00	5	VERB	послышался
1.00	2	ADJ	ровный
1.00	2	VERB	показался
0.95	20	ADV	высоко
0.05	1	ADJ	высоко
1.00	33	NOUN	самолет
1.00	1	VERB	озарен
1.00	1	NOUN	блики
1.00	4	VERB	вспыхивали
1.00	1	NOUN	фюзеляже
1.00	1	ADJ	морозной
1.00	1	ADJ	сумеречной
1.00	3	NOUN	тишины
1.00	2	VERB	воображать
1.00	26	VERB	сидят
1.00	5	NOUN	пассажиры
1.00	1	VERB	встречать
1.00	3	NOUN	сумерки
1.00	7	VERB	добрались
1.00	1	VERB	Потопали
1.00	1	ADJ	заледенелыми
1.00	1	NOUN	ботинками
1.00	12	ADJ	холодной
1.00	1	NOUN	веранде
1.00	1	VERB	отомкнули
1.00	28	VERB	вошли
0.86	6	ADJ	темно
0.14	1	ADV	темно
1.00	6	ADJ	холоднее
1.00	5	VERB	легла
0.50	1	NOUN	Дорогой
0.50	1	ADJ	Дорогой
1.00	1	VERB	разгорячилась
1.00	1	VERB	вспотела
1.00	1	VERB	остывать
1.00	2	NOUN	озноб
1.00	1	VERB	сотрясал
1.00	1	VERB	пошевелиться
1.00	2	VERB	открывала
1.00	1	ADJ	дощатый
1.00	1	VERB	разгорающееся
1.00	1	VERB	запотевшем
1.00	2	NOUN	стекле
1.00	1	ADJ	керосиновой
1.00	7	NOUN	лампочки
1.00	1	VERB	зажмуривалась
1.00	20	VERB	начинали
1.00	3	VERB	плавать
1.00	1	VERB	сменять
1.00	1	ADJ	зеленое
1.00	4	ADJ	белое
1.00	2	ADJ	алое
1.00	27	NOUN	цвета
1.00	1	VERB	нагляделась
1.00	4	VERB	доставал
1.00	2	NOUN	террасы
1.00	12	NOUN	дрова
1.00	1	VERB	грохал
1.00	1	VERB	шуршал
1.00	4	NOUN	бумагой
1.00	1	VERB	разжигал
1.00	4	VERB	кряхтел
1.00	4	ADJ	рада
1.00	2	NOUN	Печка
1.00	1	VERB	накалилась
1.00	1	VERB	раздеться
1.00	1	VERB	разделся
1.00	10	VERB	снял
1.00	1	VERB	развесил
1.00	3	NOUN	рубахе
1.00	2	ADJ	довольный
1.00	1	VERB	жмурился
1.00	1	VERB	шевелил
1.00	1	ADJ	босых
1.00	2	VERB	Устала
1.00	1	VERB	раздевайся
1.00	3	VERB	шевелиться
1.00	14	VERB	спать
1.00	2	NOUN	досады
1.00	5	ADV	послушно
1.00	1	VERB	разделась
1.00	1	VERB	развесила
1.00	1	VERB	сушить
1.00	3	NOUN	куртку
1.00	30	VERB	осталась
1.00	6	ADJ	мужской
1.00	1	NOUN	ковбойке
1.00	2	ADV	навыпуск
1.00	11	NOUN	кровать
1.00	2	VERB	опустила
1.00	5	VERB	глядеть
1.00	6	NOUN	лампу
1.00	1	VERB	накинул
1.00	5	NOUN	ведро
1.00	1	NOUN	веранду
1.00	1	ADV	певуче
1.00	1	VERB	зазвенело
1.00	6	VERB	Вернувшись
1.00	24	VERB	поставил
1.00	8	NOUN	печку
1.00	6	NOUN	чайник
1.00	1	VERB	рыться
1.00	1	NOUN	рюкзаке
1.00	2	VERB	раскладывал
1.00	2	NOUN	подоконнике
1.00	1	VERB	дождалась
1.00	5	NOUN	чаю
1.00	1	VERB	налила
1.00	3	NOUN	кружку
1.00	1	VERB	жевала
1.00	41	NOUN	хлеб
1.00	7	NOUN	маслом
1.00	1	VERB	грела
1.00	15	ADJ	горячей
1.00	1	NOUN	кружкой
1.00	1	VERB	прихлебывала
1.00	1	VERB	молчишь
1.00	2	VERB	потянулась
1.00	20	VERB	согласился
1.00	2	VERB	Подожди
1.00	6	NOUN	дров
1.00	1	VERB	подложу
1.00	1	VERB	настыл
1.00	1	VERB	лягу
1.00	1	VERB	сердись
1.00	35	ADJ	сегодняшний
0.33	2	ADJ	грустно
0.67	4	ADV	грустно
1.00	1	ADJ	отчужденный
1.00	62	NOUN	вид
1.00	1	VERB	озлобился
1.00	1	VERB	застучало
1.00	12	VERB	учится
1.00	27	NOUN	университете
1.00	2	ADJ	знакома
1.00	1	ADJ	загадочна
1.00	2	ADJ	незнакома
1.00	4	ADJ	груб
1.00	1	ADJ	туп
1.00	34	VERB	понимает
1.00	2	ADJ	счастлива
0.93	14	ADV	стыдно
0.07	1	ADJ	стыдно
1.00	1	ADJ	жалкую
1.00	6	NOUN	дачу
1.00	45	ADV	зачем
1.00	1	ADJ	хваленое
1.00	2	ADJ	проклятое
1.00	7	ADV	равнодушно
1.00	21	NOUN	дух
1.00	1	VERB	Ложись
1.00	1	VERB	взглянув
1.00	1	VERB	раздеваясь
1.00	1	VERB	накрылась
1.00	1	NOUN	курткой
1.00	13	VERB	перешел
1.00	1	VERB	закурил
1.00	1	VERB	потушил
0.82	9	VERB	лег
0.18	2	NOUN	лег
1.00	2	ADJ	Горько
1.00	5	VERB	выходило
1.00	1	NOUN	счастьем
1.00	1	VERB	злился
1.00	8	VERB	плачет
1.00	1	VERB	привстал
1.00	161	ADV	довольно
0.86	6	ADJ	светло
0.14	1	ADV	светло
1.00	1	ADV	ничком
1.00	4	VERB	глядела
1.00	1	VERB	пылающие
1.00	1	ADJ	несчастливое
1.00	5	NOUN	слезами
1.00	14	ADV	жалко
1.00	1	ADV	некрасиво
1.00	1	VERB	кривящиеся
1.00	2	NOUN	подбородок
1.00	1	VERB	вытирала
1.00	11	ADJ	тонкой
1.00	2	ADV	Отчего
0.57	12	ADJ	тяжело
0.43	9	ADV	тяжело
1.00	1	ADJ	несчастливо
1.00	6	VERB	чувствовала
1.00	87	ADJ	первой
1.00	15	NOUN	любви
1.00	14	VERB	наступает
1.00	4	ADJ	прежняя
1.00	2	ADJ	неинтересна
1.00	12	PRON	Ей
1.00	3	VERB	надоело
1.00	3	PRON	никем
1.00	5	NOUN	родителями
1.00	1	NOUN	дядьями
1.00	1	NOUN	тетками
1.00	7	NOUN	друзьями
1.00	3	NOUN	подругами
0.99	145	VERB	стать
0.01	2	NOUN	стать
1.00	20	NOUN	женой
1.00	17	NOUN	матерью
1.00	32	VERB	видит
1.00	7	ADV	смертельно
1.00	1	ADJ	тревожного
1.00	9	ADJ	неясно
0.33	2	ADJ	неопределенно
0.67	4	ADV	неопределенно
0.63	29	CCONJ	зато
0.37	17	PART	зато
1.00	1	ADJ	незнакомо
0.20	1	ADJ	горячо
0.80	4	ADV	горячо
0.36	4	ADJ	полно
0.64	7	ADV	полно
1.00	5	NOUN	ощущением
1.00	1	NOUN	новизны
1.00	4	VERB	засыпать
1.00	1	VERB	пригрезилась
1.00	1	ADJ	давнишняя
1.00	10	NOUN	мечта
1.00	2	VERB	засыпала
1.00	167	DET	каждый
1.00	1	NOUN	девочкой
1.00	1	ADJ	мужественный
1.00	7	VERB	любила
1.00	16	VERB	уехал
1.00	10	NOUN	север
1.00	2	NOUN	рыбаком
1.00	3	VERB	страдала
1.00	2	VERB	охотился
1.00	1	ADJ	прибрежных
1.00	1	NOUN	скалах
1.00	5	VERB	прыгал
1.00	5	NOUN	камня
1.00	11	NOUN	камень
1.00	6	NOUN	музыку
1.00	10	VERB	выходил
1.00	43	NOUN	море
1.00	3	VERB	ловить
1.00	6	NOUN	рыбу
1.00	17	VERB	поняла
1.00	2	VERB	ухаживали
0.38	6	NOUN	дорогой
0.62	10	ADJ	дорогой
1.00	4	NOUN	летчики
1.00	1	NOUN	шоферы
1.00	4	NOUN	моряки
1.00	9	VERB	думала
1.00	10	NOUN	Встреча
1.00	1	ADJ	необыкновенной
1.00	5	VERB	вообразить
1.00	2	VERB	придумывались
1.00	7	NOUN	задержки
1.00	1	VERB	отдалить
1.00	1	ADV	обыкновенно
1.00	1	VERB	встретившись
1.00	18	NOUN	сон
1.00	3	ADJ	подобном
1.00	6	VERB	захотелось
1.00	1	VERB	помечтать
1.00	2	ADJ	попутном
1.00	1	NOUN	мотоботе
1.00	1	VERB	мешаться
1.00	2	VERB	уснула
1.00	1	VERB	Проснулась
1.00	12	ADJ	холодно
1.00	1	VERB	растоплял
1.00	1	VERB	остывшую
1.00	2	ADJ	грустное
1.00	1	VERB	помолчали
1.00	1	VERB	завтракали
1.00	10	VERB	пили
1.00	6	NOUN	чай
1.00	1	VERB	повеселели
1.00	2	VERB	кататься
1.00	1	VERB	взбирались
1.00	25	NOUN	горы
1.00	2	VERB	съезжали
1.00	7	VERB	выбирая
1.00	4	ADJ	крутые
1.00	3	ADJ	опасные
0.36	4	ADV	Дома
0.36	4	PROPN	Дома
0.27	3	NOUN	Дома
1.00	3	VERB	грелись
1.00	1	ADJ	незначительном
1.00	19	NOUN	делах
1.00	13	ADJ	хорошая
1.00	4	VERB	темнеть
1.00	11	VERB	собрались
1.00	1	VERB	заперли
1.00	10	NOUN	лыжах
1.00	13	NOUN	станцию
1.00	1	VERB	подъезжали
1.00	1	VERB	дремали
1.00	1	VERB	показались
1.00	11	NOUN	ряды
1.00	1	VERB	освещенных
1.00	10	NOUN	окон
1.00	8	VERB	расставаться
1.00	1	VERB	вообразил
1.00	5	NOUN	молодость
1.00	19	ADJ	простым
1.00	1	ADJ	необязательным
1.00	31	NOUN	семья
1.00	34	ADJ	подобное
1.00	1	VERB	миновало
1.00	11	VERB	знаешь
1.00	9	PRON	тобой
1.00	8	ADJ	хороша
1.00	8	VERB	можешь
1.00	4	ADJ	свободен
1.00	2	NOUN	чувстве
1.00	46	ADV	собственно
1.00	1	NOUN	отрады
0.67	2	ADV	Завтра
0.33	1	NOUN	Завтра
1.00	50	ADJ	целый
1.00	12	ADJ	юридической
1.00	9	NOUN	консультации
1.00	1	NOUN	кассации
1.00	31	NOUN	заявления
1.00	3	ADJ	людских
1.00	2	NOUN	несчастьях
1.00	241	NOUN	числе
1.00	9	ADJ	семейных
1.00	68	PRON	кому
1.00	1	NOUN	байдарка
1.00	1	NOUN	палатка
1.00	1	ADJ	человечнее
1.00	29	VERB	вышли
1.00	1	ADJ	вокзальную
1.00	2	VERB	горели
1.00	2	NOUN	фонари
1.00	1	VERB	шумел
1.00	102	NOUN	город
1.00	2	VERB	увезти
1.00	8	VERB	почувствовали
1.00	108	NOUN	дней
1.00	1	VERB	прощаться
1.00	1	VERB	разъезжаться
1.00	13	VERB	встретиться
1.00	5	NUM	обоим
1.00	1	ADJ	буднично
1.00	1	ADJ	покойно
1.00	1	VERB	простились
1.00	1	VERB	прощались
1.00	1	ADJ	торопливой
1.00	8	NOUN	улыбкой
1.00	1	VERB	провожал
1.00	1	ADJ	Дворцовый
1.00	2	NOUN	макияж
1.00	1	ADJ	Уникальную
1.00	28	VERB	провели
1.00	7	ADJ	московские
1.00	6	NOUN	реставраторы
1.00	13	ADJ	внутреннее
1.00	1	NOUN	убранство
1.00	3	NOUN	дворцов
1.00	3	PROPN	Петергофа
1.00	1	PROPN	Стрельны
1.00	3	VERB	обрело
1.00	4	NOUN	юбилею
1.00	17	PROPN	Санкт-Петербурга
1.00	1	ADJ	неповторимые
1.00	66	NOUN	месяц
1.00	17	PROPN	Петербург
1.00	7	ADJ	столичные
1.00	10	VERB	отправили
1.00	4	ADJ	необычный
1.00	6	NOUN	груз
1.00	1	NOUN	Содержимое
1.00	1	NOUN	автофургона
1.00	7	ADJ	уникальные
1.00	14	NOUN	памятники
1.00	3	ADJ	лаковых
1.00	14	NOUN	панно
1.00	9	ADJ	китайского
1.00	8	NOUN	портрет
1.00	10	NOUN	князя
1.00	4	PROPN	Константина
1.00	10	NOUN	владельца
1.00	8	NOUN	дворца
1.00	2	PROPN	Стрельне
1.00	58	ADV	ныне
1.00	1	VERB	отданного
1.00	14	ADJ	Государственный
0.33	1	NOUN	Дворец
0.67	2	PROPN	Дворец
1.00	1	NOUN	конгрессов
1.00	2	ADJ	послевоенные
1.00	249	NOUN	годы
1.00	3	VERB	уцелевшие
1.00	2	NOUN	раритеты
1.00	1	VERB	пролежали
1.00	3	NOUN	запасниках
1.00	2	VERB	Готовясь
1.00	6	VERB	вспомнили
1.00	2	NOUN	интерьер
1.00	2	ADJ	незаконченным
1.00	1	ADJ	неполной
1.00	1	NOUN	коллекция
1.00	1	PROPN	Константиновского
1.00	2	NOUN	портрета
1.00	1	VERB	повреждены
1.00	5	PROPN	Питере
1.00	5	NOUN	реставрацию
1.00	9	VERB	взялись
1.00	14	VERB	обратились
1.00	3	ADJ	Всероссийский
1.00	7	ADJ	художественный
1.00	1	ADJ	реставрационный
1.00	61	NOUN	центр
1.00	19	NOUN	академика
1.00	59	PROPN	И.
1.00	9	PROPN	Э.
1.00	6	PROPN	Грабаря
1.00	16	VERB	согласились
1.00	2	VERB	отреставрировать
1.00	1	ADJ	лаковому
1.00	1	VERB	обрадовались
1.00	8	NOUN	Операция
1.00	1	NOUN	Панно
1.00	17	NOUN	восстановления
1.00	8	NOUN	произведений
1.00	30	NOUN	искусства
1.00	184	ADJ	российских
1.00	5	NOUN	реставраторов
1.00	8	ADJ	мал
1.00	19	NOUN	гарантий
1.00	35	NOUN	успеха
1.00	80	NOUN	операции
1.00	5	NOUN	восстановлению
1.00	5	NOUN	дилемма
1.00	3	VERB	законсервировать
1.00	3	NOUN	шедевр
1.00	52	NOUN	времен
1.00	10	VERB	найдены
1.00	15	NOUN	реставрации
1.00	1	ADJ	супернадежное
1.00	7	VERB	рисковать
1.00	4	VERB	пробовать
1.00	23	VERB	восстановить
1.00	30	NOUN	предмет
1.00	1	ADJ	Подобную
1.00	8	NOUN	бригада
1.00	26	NOUN	специалист
1.00	8	ADJ	ответственный
1.00	59	NOUN	метод
1.00	3	NOUN	икон
1.00	20	NOUN	мебели
1.00	7	VERB	сложились
1.00	42	NOUN	традиции
1.00	208	NOUN	школы
1.00	20	NOUN	методики
1.00	2	VERB	отработанные
1.00	2	NOUN	поколениями
1.00	1	NOUN	лаками
1.00	23	VERB	занимаются
1.00	120	NOUN	правило
1.00	2	NOUN	лаком
1.00	5	VERB	возвращался
1.00	12	NOUN	традиций
1.00	8	NOUN	методик
1.00	4	PART	только-только
1.00	7	VERB	приобретать
1.00	21	ADJ	научную
1.00	4	NOUN	направленность
1.00	4	VERB	опубликован
1.00	3	NOUN	сборник
1.00	1	VERB	обобщающий
1.00	2	ADJ	восточноазиатских
1.00	21	NOUN	памятников
1.00	99	PROPN	Европе
1.00	14	PROPN	Канаде
1.00	3	ADJ	универсальной
1.00	32	PROPN	Центра
1.00	44	NOUN	им.
1.00	72	PROPN	Алексей
1.00	3	PROPN	Владимиров
0.86	106	PRON	Тем
0.11	14	DET	Тем
0.02	3	SCONJ	Тем
1.00	2	ADJ	лаковые
1.00	18	VERB	решено
0.62	58	CCONJ	Причем
0.38	36	ADV	Причем
1.00	9	VERB	успеть
1.00	18	ADJ	официальных
1.00	1	NOUN	празднований
1.00	3	NOUN	300-летия
1.00	16	PROPN	Петербурга
1.00	7	PROPN	Центре
1.00	1	VERB	длившуюся
1.00	5	VERB	вспоминают
1.00	34	ADJ	самую
1.00	1	ADJ	рискованную
1.00	3	VERB	поставило
1.00	16	NOUN	тупик
1.00	2	NOUN	лак
1.00	2	VERB	поражал
1.00	6	NOUN	европейцев
1.00	8	NOUN	легкостью
1.00	7	NOUN	прочностью
1.00	2	NOUN	стойкостью
1.00	5	ADJ	горячим
1.00	1	NOUN	жидкостям
1.00	2	NOUN	спирту
1.00	3	NOUN	кислотам
1.00	92	VERB	считают
1.00	1	ADJ	колдовским
1.00	1	NOUN	сок
1.00	1	NOUN	сумах
1.00	4	VERB	соблюсти
1.00	9	ADJ	климатических
1.00	7	ADJ	Японские
1.00	16	NOUN	мастера
1.00	1	VERB	расписывая
1.00	1	VERB	уплывают
1.00	1	NOUN	вьетнамцы
1.00	4	VERB	помещают
1.00	32	NOUN	предметы
1.00	40	ADJ	специальные
1.00	1	NOUN	чаны
1.00	33	NOUN	водой
0.70	7	VERB	закрытой
0.30	3	ADJ	закрытой
1.00	2	NOUN	крышкой
1.00	1	VERB	нанося
1.00	11	NOUN	слоем
1.00	1	NOUN	Лак
1.00	2	ADV	химически
1.00	12	ADJ	активное
1.00	25	NOUN	вещество
1.00	6	NOUN	оттенок
1.00	6	ADJ	необходимый
1.00	1	NOUN	восполнения
1.00	2	VERB	утраченного
1.00	2	NOUN	фрагмента
1.00	3	ADJ	Известен
1.00	1	NOUN	доспехов
1.00	1	VERB	восстанавливаемых
1.00	3	ADJ	японскими
1.00	2	NOUN	реставраторами
1.00	17	ADV	кардинально
1.00	7	VERB	изменился
1.00	6	NOUN	нанесения
1.00	28	ADV	тщательно
1.00	1	VERB	подобранного
1.00	2	ADJ	сырого
1.00	2	NOUN	лака
1.00	1	NOUN	необратимости
1.00	5	VERB	удалить
1.00	1	NOUN	вставку
1.00	3	ADJ	Питерские
1.00	2	NOUN	лаки
1.00	1	VERB	восстанавливал
1.00	181	PROPN	Владимир
1.00	1	PROPN	Симонов
1.00	9	NOUN	художник
1.00	3	NOUN	реставратор
1.00	27	ADJ	высшей
1.00	39	NOUN	категории
1.00	1	VERB	Учиться
1.00	1	NOUN	лаках
1.00	2	VERB	Выбирая
1.00	3	VERB	экспериментировали
1.00	1	NOUN	Счастье
1.00	2	ADJ	петергофских
1.00	1	VERB	заклеенном
1.00	1	NOUN	живописью
1.00	1	NOUN	музейщики
1.00	15	VERB	зная
1.00	1	NOUN	раритетом
1.00	3	VERB	заклеили
1.00	59	ADJ	большей
1.00	9	NOUN	сохранности
1.00	37	NOUN	опасность
1.00	2	ADJ	профилактической
1.00	3	VERB	сойдет
1.00	1	ADJ	красочный
1.00	1	VERB	Повезло
1.00	4	NOUN	удача
1.00	1	NOUN	росписи
1.00	5	ADJ	похожее
1.00	1	NOUN	воск
1.00	4	NOUN	нагревании
1.00	79	NOUN	поверхности
1.00	5	VERB	выделяется
1.00	1	NOUN	субстанция
1.00	1	VERB	фиксирующая
1.00	1	ADJ	лаковый
1.00	24	VERB	позволило
1.00	5	VERB	укрепить
1.00	8	NOUN	привлечения
1.00	1	ADJ	инородных
1.00	9	ADJ	Подобный
1.00	13	VERB	использовался
1.00	3	NOUN	саркофага
1.00	1	PROPN	ГМИИ
1.00	125	PROPN	А.
1.00	40	PROPN	С.
1.00	29	NOUN	поверхность
1.00	4	NOUN	крышки
1.00	2	VERB	покрытой
1.00	1	ADJ	воскосмоляной
1.00	1	NOUN	мастикой
1.00	1	NOUN	темперой
1.00	3	VERB	нанесены
1.00	2	NOUN	иероглифы
1.00	69	NOUN	временем
1.00	1	VERB	отслоились
1.00	1	NOUN	Реставратор
1.00	1	VERB	проглаживая
1.00	11	NOUN	буквы
1.00	6	NOUN	пленку
1.00	9	ADJ	специальным
1.00	1	NOUN	шпателем
1.00	21	VERB	обнаружил
1.00	1	VERB	посадило
1.00	12	NOUN	основание
1.00	20	ADJ	уникальный
1.00	2	NOUN	реставраторам
1.00	124	VERB	остается
1.00	6	VERB	мечтать
1.00	18	NOUN	укрепление
1.00	37	VERB	происходило
1.00	1	NOUN	Москвичам
1.00	8	ADJ	вторым
1.00	21	PRON	ничем
1.00	1	VERB	заклеивал
1.00	2	VERB	Оставалась
1.00	8	NOUN	внедрения
1.00	1	NOUN	раритет
1.00	1	ADJ	хронические
0.85	11	NOUN	больные
0.15	2	ADJ	больные
1.00	13	VERB	нуждаются
1.00	4	ADJ	постоянном
1.00	1	NOUN	присмотре
1.00	16	NOUN	восстановление
1.00	1	ADJ	фрагментарным
1.00	2	VERB	поведут
1.00	1	ADJ	нетронутые
1.00	20	NOUN	специалистами
1.00	4	NOUN	шедевров
1.00	1	NOUN	экспонирования
1.00	2	NOUN	непредсказуемостью
1.00	34	NOUN	проблемами
1.00	1	ADJ	повторной
1.00	5	ADJ	экспериментальным
1.00	1	NOUN	характером
1.00	13	VERB	проведенных
1.00	6	ADJ	китайские
1.00	9	NOUN	категорию
1.00	8	NOUN	экспонатов
0.25	1	ADJ	повышенного
0.75	3	VERB	повышенного
1.00	21	NOUN	риска
0.50	88	VERB	значит
0.50	88	ADV	значит
1.00	22	ADJ	особого
1.00	51	NOUN	контроля
1.00	9	NOUN	состоянием
1.00	1	NOUN	сохранностью
1.00	1	ADJ	Наукоемкое
1.00	8	NOUN	возрождение
1.00	1	NOUN	раритетов
1.00	14	PROPN	Санкт-Петербург
1.00	41	VERB	обладает
1.00	2	ADJ	прекрасными
1.00	3	VERB	Сложилось
1.00	29	NOUN	столице
1.00	2	VERB	сосредоточена
1.00	66	ADJ	большая
1.00	1	ADJ	реставрационной
1.00	1	PROPN	ВХНРЦ
1.00	1	ADJ	научно-исследовательский
1.00	21	ADJ	Российский
1.00	18	PROPN	НИИ
1.00	23	ADJ	культурного
1.00	5	ADJ	природного
1.00	15	NOUN	наследия
1.00	15	VERB	работающие
1.00	3	ADJ	реставрационные
1.00	2	NOUN	отделы
0.80	33	ADJ	ведущих
0.15	6	VERB	ведущих
0.05	2	NOUN	ведущих
1.00	18	ADJ	московских
1.00	4	NOUN	музеев
